miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	2.367562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.578375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	5.524312	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	59	46.562062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1475	1164.051562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3260	2572.751250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8425	6648.904687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	427	336.983062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	36	28.410750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	6.313500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	4.735125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	2.367562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	1.578375	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.789187	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	11.048625	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	9.470250	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	3.156750	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.789187	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	9.470250	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.578375	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.367562	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	456	359.869500	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	3.945937	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	7.102687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	7.891875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8298	6548.677874	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.578375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	2.367562	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3193	2519.875687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1445	1140.375937	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	84	66.291750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.789187	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.789187	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	1.578375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	16.572937	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	47	37.091812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	21.308062	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	47	37.091812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1421	1121.435437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3269	2579.853937	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8225	6491.067187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	439	346.453312	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	1.578375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	7.891875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.578375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	6.313500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.789187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	14.205375	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	5.524312	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.789187	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.789187	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.789187	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	9	7.102687	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	11.048625	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	333	262.799437	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6725	5307.285937	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1908	1505.769750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5300	4182.693749	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2131	1681.758562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.789187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	2.367562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.789187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	6.313500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	5	3.945937	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.789187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	4.735125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	4.735125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	3.156750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	3.945937	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.789187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.789187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	2.367562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	1.578375	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	8.681062	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	20	15.783750	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	1.578375	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.789187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.789187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.789187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	6	4.735125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	5.524312	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	12	9.470250	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	61	48.140437	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	242	190.983375	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	311	245.437312	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1390	1096.970625	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	74	58.399875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	1.578375	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	3.156750	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.789187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.789187	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539880-16539901:+	1	0.789187	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	1.578375	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	7.891875	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	22	17.362125	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.789187	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.789187	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	28	22.097250	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	52	41.037750	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	179	141.264562	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	32	25.254000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	2.367562	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	2.367562	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.789187	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178864:+	1	0.789187	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.789187	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	4	3.156750	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	16	12.627000	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	56	44.194500	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	204	160.994250	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	1.578375	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178914:+	1	0.789187	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	6	4.735125	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.789187	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	3.156750	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	1.578375	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	54	42.616125	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	230	181.513125	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	595	469.566562	N	mature,MIMAT0000066
