miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	2.562534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	2.562534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	54	27.675362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1427	731.347062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2186	1120.339648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5072	2599.433988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	127	65.088351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	3.587547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	4.100054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	2.562534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	1.025013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.562534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	5.125067	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	4.100054	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.512507	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	7.687601	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	5.125067	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.025013	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.512507	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	116	59.450777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	5.125067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	3.075040	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	14	7.175094	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5226	2678.360020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2019	1034.751029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1359	696.496607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	42	21.525281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	13	6.662587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	26	13.325174	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	9.737627	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	58	29.725389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1331	682.146419	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2046	1048.588710	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5238	2684.510100	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	107	54.838217	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	2.050027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	6.662587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	1.025013	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.537520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	7.175094	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.512507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	3.587547	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	5.125067	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	19	9.737627	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.512507	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.512507	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.537520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	9.737627	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	534	273.678578	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9732	4987.715214	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3155	1616.958642	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8223	4214.342603	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1441	738.522156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	5.637574	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	7	3.587547	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	21	10.762641	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	2.050027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	2.050027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	14	7.175094	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.025013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	1.025013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	3.075040	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.537520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.512507	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	8	4.100054	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113726-46113745:+	1	0.512507	N	stemloop
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	4.612560	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	46	23.575308	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.512507	N	mature,MIMAT0004482
