miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.187728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	7	2.771366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175985:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	3.959095	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	2.375457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	3.563185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	224	88.683720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8064	3192.613913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6420	2541.738755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11261	4458.336468	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	321	127.086938	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	3.563185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	3.167276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	3.167276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	35	13.856831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	2.375457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	12	4.750914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	1.187728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.791819	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.563185	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	7.126370	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	5.938642	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.375457	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.395909	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.791819	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.395909	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	2.771366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	319	126.295119	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.187728	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	20	7.918189	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	39	15.440469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11219	4441.708270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	5.146823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6286	2488.686887	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7934	3141.145683	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.187728	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	248	98.185547	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	1.187728	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.583638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	45	17.815926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	56	22.170930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	37	14.648650	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	233	92.246905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8052	3187.862999	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6359	2517.588278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11184	4427.851439	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	306	121.148296	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	6	2.375457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	13	5.146823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	24	9.501827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	7	2.771366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	5.542732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.395909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.791819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.791819	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	3.167276	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	5.146823	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.395909	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.791819	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.395909	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	2	0.791819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	29	11.481374	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	103	40.778675	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2893	1145.366078	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	94545	37431.260219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	17183	6802.912310	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	29575	11709.022381	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5461	2162.061580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.791819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.395909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.395909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	106	41.966403	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	37	14.648650	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	124	49.092773	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	31	12.273193	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	7	2.771366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.791819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	33	13.065012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	16	6.334551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.187728	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	18	7.126370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	11	4.355004	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.395909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.395909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.791819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	5.938642	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	79	31.276848	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.395909	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113747-46113765:+	1	0.395909	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.395909	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	4	1.583638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	14	5.542732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	1.187728	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	21	8.314099	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	125	49.488683	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	89	35.235942	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	59	23.358658	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.395909	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1597	632.267413	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	8059	3190.634366	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4649	1840.583095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	17816	7053.523000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	710	281.095719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.583638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	13	5.146823	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	12	4.750914	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	76	30.089119	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	6	2.375457	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.395909	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	8	3.167276	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	4	1.583638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	2	0.791819	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539900:+	1	0.395909	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.395909	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.395909	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	27	10.689556	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	130	51.468230	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.791819	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.395909	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	2	0.791819	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.395909	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.791819	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	70	27.713662	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	98	38.799127	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	186	73.639160	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	11	4.355004	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	5	1.979547	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	1.583638	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	18	7.126370	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.395909	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	5	1.979547	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.395909	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	2	0.791819	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.395909	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	43	17.024107	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	149	58.990510	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	406	160.739242	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.187728	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178914:+	1	0.395909	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	6	2.375457	N	mature,MIMAT0004484
