miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	3.109201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	3.109201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	6.501057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	236	66.706502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6091	1721.649595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13286	3755.349946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35858	10135.431159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	466	131.717076	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	4.239820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	1.695928	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	5.087784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	52	14.698043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	22	6.218403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	98	27.700158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	1.413273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	23	6.501057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.847964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176032:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.565309	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	41	11.588841	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	106	29.961395	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	65	18.372554	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.413273	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.282655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.847964	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	3	0.847964	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	4.522475	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.565309	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.695928	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	6	1.695928	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	463	130.869112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	32	9.044949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	105	29.678740	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	73	20.633791	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35968	10166.523172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.130619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	1.413273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	25	7.066367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	15	4.239820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13369	3778.810284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.847964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	2.261237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5980	1690.274927	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	223	63.031991	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112770:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	4	1.130619	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	2.261237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	24	6.783712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	151	42.680855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	364	102.886300	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	160	45.224747	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	238	67.271811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5979	1689.992272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13433	3796.900183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35762	10108.296310	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	474	133.978314	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	19	5.370439	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	69	19.503172	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.282655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	21	5.935748	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	83	23.460338	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.565309	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	9	2.543892	N	mature,MIMAT0000062
