miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	1.134407	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	11.344068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	31	35.166610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	599	679.509664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	798	905.256614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5268	5976.054942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	187	212.134069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	10.209661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175990:+	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	5.672034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	34	38.569831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	3.403220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	28	31.763390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	10	11.344068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	1.134407	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	1.134407	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	5.672034	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	22.688136	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	1.134407	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	1.134407	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	1.134407	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	4.537627	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146583:-	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	4.537627	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	3.403220	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	175	198.521187	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	6.806441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	28	31.763390	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	27.225763	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5264	5971.517314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	824	934.751191	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	560	635.267799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	1.134407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	36	40.838644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	1.134407	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	3.403220	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	15.881695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	54	61.257966	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	119	134.994407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	2.268814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	24	27.225763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	601	681.778478	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	760	862.149156	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5095	5779.802568	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	187	212.134069	N	mature,MIMAT0000062
