miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.611084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.259113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	48	9.777339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2946	600.084207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5762	1173.688120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23526	4792.118487	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	656	133.623639	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	30	6.110837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175986:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.203695	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.203695	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.203695	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	3.055419	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	53	10.795812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	5.092364	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.407389	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.018473	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.407389	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.407389	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.407389	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.203695	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.018473	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	650	132.401471	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.611084	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	1.833251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	2.240640	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23500	4786.822428	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.018473	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.814778	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5767	1174.706593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2916	593.973370	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	63	12.832758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.407389	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.814778	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	11.406896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	149	30.350491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	143	29.128324	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	5	1.018473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	70	14.258620	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3019	614.953911	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5635	1147.818910	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23634	4814.117500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	632	128.734969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.018473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	2.036946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.203695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	2.036946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.407389	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	16	3.259113	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	52	10.592118	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	4.684975	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.611084	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.611084	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.407389	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.203695	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.203695	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.203695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.203695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	9	1.833251	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	745	151.752456	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15226	3101.453544	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4801	977.937637	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15381	3133.026203	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3620	737.374348	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.611084	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.203695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	0.814778	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.203695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.203695	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	1.425862	N	mature,MIMAT0000063
