miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.178996	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.894982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.431971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	4.295913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	148	26.491465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3286	588.182122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6761	1210.194560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19287	3452.303281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	496	88.782207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	2.147957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.715986	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.536989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.536989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	32	5.727884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	111	19.868599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.894982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.357993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	22	3.937920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.536989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.357993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	4	0.715986	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	5	0.894982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.178996	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.178996	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	2.326953	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	8.233834	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	101	18.078635	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.357993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.357993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.715986	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.178996	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	5.369892	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	1.789964	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	1.073978	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.178996	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.894982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	6	1.073978	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.715986	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	497	88.961203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.178996	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	30	5.369892	N	mature,MIMAT0000062
