miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.249792	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.749376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	22	2.747711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	49	6.119903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	304	37.968377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10849	1354.996457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41138	5137.970713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	116398	14537.641961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1727	215.695353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	39	4.870943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.124064	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	1.248960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.249792	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.124896	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.124896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	2.872607	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	40	4.995839	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	74	9.242302	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.124896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	5	0.624480	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	14	1.748544	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.124896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	4	0.499584	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.124896	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.124896	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	1.748544	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	2.248128	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.249792	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1677	209.450554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.624480	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	0.874272	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	115835	14467.325526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.374688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.374688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	41073	5129.852474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.249792	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	10911	1362.740008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	292	36.469625	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.124896	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	10	1.248960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	0.874272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	263	32.847642	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	523	65.320596	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	246	30.724410	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	256	31.973370	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	11057	1380.974821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	40785	5093.882433	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	116110	14501.671920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1687	210.699514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.499584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	1.623648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.249792	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.374688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.624480	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.249792	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112776:+	1	0.124896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	15	1.873440	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	43	5.370527	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	74	9.242302	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.124896	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	9	1.124064	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	12	1.498752	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.249792	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.249792	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.124896	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.124896	N	mature,MIMAT0000063
