miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.367213	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.836067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.203281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	19	3.488528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	227	41.678731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6386	1172.512675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11636	2136.448087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25367	4657.552305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	445	81.705002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	2.019674	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	0.918034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.918034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	3.121315	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	46	8.445910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.550820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	17	3.121315	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.367213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.550820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.183607	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	48	8.813124	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	93	17.075427	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	39	7.160663	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.183607	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.367213	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.183607	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.367213	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.183607	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176037:+	1	0.183607	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	2.386888	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.101640	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	0.918034	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.183607	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.918034	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.550820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	402	73.809912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.918034	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	47	8.629517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	1.285247	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	25085	4605.775203	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.367213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	19	3.488528	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.734427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11772	2161.418604	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146593:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6258	1149.011011	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	201	36.904956	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.367213	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.367213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	90	16.524607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	129	23.685270	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	72	13.219686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	249	45.718080	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6403	1175.633990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11761	2159.398930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	25195	4625.971945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	463	85.009923	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	0.367213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.550820	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.285247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.367213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.183607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	1.468854	N	mature,MIMAT0000062
