miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	1.942557	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	2.913835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	28	27.195793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	802	778.965219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1446	1404.468463	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3683	3577.218084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	211	204.939727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	14.569175	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.971278	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.971278	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	172	167.059873	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3756	3648.121402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1490	1447.204710	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	778	755.654540	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	23	22.339402	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	8	7.770227	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	18	17.483010	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	16	15.540453	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	25	24.281958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	787	764.396045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1510	1466.630276	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3743	3635.494784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	171	166.088594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	1.942557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.971278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.971278	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	1	0.971278	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	1	0.971278	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	2.913835	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	1.942557	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	4.856392	N	mature,MIMAT0000063
