miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.612520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	18	2.205072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	25	3.062601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	145	17.763084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8874	1087.100730	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18673	2287.517685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48773	5974.888880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	786	96.288165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	26	3.185105	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.245008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	0.735024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	0.857528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.245008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	22	2.695089	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	56	6.860225	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	28	3.430113	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.245008	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	0.857528	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	2.205072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	784	96.043157	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.367512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.367512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	0.612520	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	48617	5955.778252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.735024	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.245008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	19183	2349.994738	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.367512	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8790	1076.810392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	142	17.395572	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.490016	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	175	21.438205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	308	37.731240	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	215	26.338366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	129	15.803019	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8861	1085.508178	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	19011	2328.924046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	48893	5989.589363	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	837	102.535870	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	12	1.470048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.367512	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	0.612520	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	0.980032	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.245008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112780:+	1	0.122504	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112796-46112818:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	15	1.837560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	55	6.737721	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	37	4.532649	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.245008	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.367512	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	6	0.735024	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.122504	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	2	0.245008	N	mature,MIMAT0004481
