miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.852817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.852817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	3.411267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	6.822533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	179	76.327089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2991	1275.387285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6715	2863.331869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15227	6492.919490	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	570	243.052742	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	4.264083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	2.558450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	20	8.528166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.279225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.852817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	2.132042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	2.132042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.852817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.426408	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.426408	N	stemloop
hsa-let-7a-1	hg38:chr9:94176005-94176024:+	1	0.426408	Y	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.426408	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.279225	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	4.690492	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	6.396125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.426408	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.852817	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	31	13.218658	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.558450	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	1.705633	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	3.837675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.426408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	539	229.834085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.852817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.279225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	5.543308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15284	6517.224764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.279225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	2.132042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	4.690492	N	mature,MIMAT0000062
