miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	92	37.334677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2309	937.019240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2061	836.377936	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9580	3887.676188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	405	164.353743	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	6.492987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	17	6.898799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	81	32.870749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	7	2.840682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	15	6.087176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	85	34.493995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	2.029059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	32	12.985975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	2.029059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	9	3.652305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.623247	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	10.956916	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	42	17.044092	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	1.217435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.811623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	1.623247	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	12	4.869741	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176033:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	1.217435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	2	0.811623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176037:+	1	0.405812	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.811623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.405812	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	4.463929	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	6	2.434870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	399	161.918873	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	36	14.609222	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	72	29.218443	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	99	40.175359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9646	3914.459761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	2.434870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	14	5.681364	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	3.652305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2135	866.408002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	3.246494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2226	903.336868	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	126	51.132276	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	9	3.652305	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	109	44.233476	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	190	77.104225	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	304	123.366760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	13	5.275552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	127	51.538087	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2414	979.629470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2092	848.958099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9526	3865.762356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	434	176.122282	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	16	6.492987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112779:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.405812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	11	4.463929	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	12	4.869741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	82	33.276560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	11	4.463929	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	2	0.811623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	14	5.681364	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	74	30.030067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	1.217435	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	24	9.739481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	8	3.246494	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	4	1.623247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.405812	N	mature,MIMAT0004481
