miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.313047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	3.282617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	32	21.008748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	921	604.658033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2429	1594.695291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8024	5267.943605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	348	228.470136	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	8.534804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	3.282617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	12.473944	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	5.908710	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.313047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	2	1.313047	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.313047	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	5.908710	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	10	6.565234	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.656523	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.656523	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	4.595664	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.656523	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.313047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	309	202.865725	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	5.908710	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	7.221757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8141	5344.756840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.969570	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	1.313047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2496	1638.682358	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	906	594.810183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	31	20.352225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.656523	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	2.626094	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	11.160897	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	54	35.452263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	49	32.169646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	43	28.230505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	951	624.353735	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2394	1571.716973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8149	5350.009027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	315	206.804865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	14	9.191327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	2.626094	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.656523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.656523	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	7.878281	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	5.252187	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.656523	N	mature,MIMAT0004481
