miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	2.072046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	2.072046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	2.590058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	6.216138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	99	51.283140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2467	1277.934419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4724	2447.086418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10567	5473.827727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	258	133.646972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	4.662104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	2.072046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	17	8.806196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	66	34.188760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.554035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.590058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	3.626081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	4.144092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	1.036023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	1.554035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.518012	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.590058	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	5.698127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	6.734150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	1.036023	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	9.324207	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.554035	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.036023	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.590058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	4	2.072046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.036023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	240	124.322765	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	5.698127	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	6.734150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	62	32.116714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10663	5523.556833	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	1.036023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	1.036023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	16	8.288184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4730	2450.194487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	1.036023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	4.662104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2508	1299.172891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	100	51.801152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	2.072046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	41	21.238472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	39	20.202449	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	36	18.648415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	95	49.211094	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2533	1312.123179	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4761	2466.252845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10582	5481.597900	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	275	142.453168	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	9	4.662104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	18	9.324207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	70	36.260806	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	5.698127	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	2.590058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.518012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	6.216138	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	11	5.698127	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	1.036023	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112823:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.518012	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	8.288184	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	30	15.540346	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	593	307.180831	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10552	5466.057554	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3474	1799.572019	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8721	4517.578462	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2092	1083.680099	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	1.036023	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	13	6.734150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	18	9.324207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	89	46.103025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	28	14.504323	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.518012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.518012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	3.108069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	8	4.144092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.518012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	2.590058	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	9	4.662104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.518012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	9	4.662104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.518012	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.518012	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.518012	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	8.288184	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	46	23.828530	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.518012	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.518012	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.518012	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	6	3.108069	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	1	0.518012	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	2.072046	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	49	25.382564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	127	65.787463	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	134	69.413544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	596	308.734866	N	mature,MIMAT0000064
