miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.310305	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	3.103047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	3.723656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	7.447313	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	254	78.817392	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6723	2086.178439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	15663	4860.302380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29803	9248.010714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	869	269.654777	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	8.998836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.241219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.482438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.930914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	1.241219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	3.103047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.930914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	5.895789	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	8.378227	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.620609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.310305	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	5.895789	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.861828	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.310305	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.930914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	3.723656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	823	255.380761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.930914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	3.413352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	23	7.137008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29483	9148.713213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.930914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	2.172133	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	15614	4845.097450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6677	2071.904424	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.241219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	240	74.473126	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	1.551523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.930914	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	50	15.515235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	108	33.512907	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	40	12.412188	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	235	72.921602	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6559	2035.288470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	15909	4936.637334	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30281	9396.336357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	822	255.070456	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	1.551523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	1.551523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	17	5.275180	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.310305	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.241219	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	9	2.792742	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.620609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.861828	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	5.275180	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	36	11.170969	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.310305	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.310305	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.310305	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.620609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	17	5.275180	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	79	24.514071	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1527	473.835264	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	46663	14479.747809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	12754	3957.626033	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	27942	8670.533684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7484	2322.320310	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.620609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	14	4.344266	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	7	2.172133	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	29	8.998836	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	12	3.723656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.620609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	1.241219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	3.723656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.620609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	1.861828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	7	2.172133	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113715:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.620609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.310305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	1.241219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.310305	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	4.964875	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	124	38.477782	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.620609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	12	3.723656	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	5	1.551523	N	mature,MIMAT0000064
